Mã hàng	ĐVT	Tên hàng
02-61860-00	Cái	Dây dẫn dung dịch kèm van máy Count/Calibur
1701	Cái	Máy ly tâm đa năng để bàn
17544202	Chai	FILCOLL PAQUE PREMIUM
1798	Cái	Rotor góc 4 vị trí
2000E7D	Cái	SMART SITE NEEDLE-FREE VALVE
20012027	Chai	PBS, pH 7.2
20019E7DS	Cái	Dây nối chữ Y 24 cm
20038E7DS	Cái	SmartSite 3 dây
20039E7D	Cái	SmartSite Extension Set One Needle Free Valve
20039E7DS	Cái	SmartSite Extension Set One Needle Free Valve
211438	Chai	Bottle Mueller Hinton II Agar 500G
211462	Chai	Bottle Mycosel Agar 500G
211720	Chai	BBL Thioglycollate Medium
212240	Hộp	Bottle Middlebrook OADC 100ml 6 Ea
212322	Chai	BBL Mueller Hinton II Broth
212354	Hộp	BBL™ Viatamin K₁ - Hemin Solution
212519	Hộp	BD BBL™ TB Fluorescent Stain Kit M
212961	Chai	Bottle Chromagar  candida 500mg
214010	Chai	Bottle Difco Agar 454G
215348	Lọ	Kanamycin Sulfate
215349	Lọ	Moxifloxacin Hydrochloride
215350	Lọ	Amikacin
215351	Lọ	Capreomycin Sulfate
215449	Lọ	Vial Bedaquiline 170 ug LUO
220217	Hộp	BD Difco™ Disposable Inoculating Loops Light Blue 10µl (20x50 loops)
220502	Hộp	Tube LJ W/Pact And Glycerol 100 Ea
220909	Hộp	BBL Prepared Culture Media (BBL Lowenstein-Jensen Medium)
231251	Ống	BD BBL™ Sensi-Disc™ Minocycline MIN-30, 10 Ea
231264	Ống	Disc Ampicillin Am-10 10 Ea
231274	Ống	Disc Chloramphenicol C-30 10 Ea
231275	Ống	Disc Clindamycin Cc-2 10 Ea
231278	Ống	BD BBL™ Sensi-Disc Colistin - 10 µg
231286	Ống	Disc Doxycycline D-30 10 Ea
231290	Ống	Disc Erythromycin E-15 10 Ea
231293	Ống	Disc Nitrofurantoin F/N-300 10 Ea
231299	Ống	Disc Gentamicin Gm-10 10 Ea
231319	Ống	Disc Oxacillin Ox-1 10 Ea
231321	Ống	Disc Penicillin P-10 10 Ea
231353	Ống	Disc Vancomycin Va-30 10 Ea
231539	Ống	Disc Sulfamethoxazole W/Trim Sxt 10 Ea
231544	Ống	BD BBL™ Sensi-Disc™ Rifampin RA-5, 10 Ea
231591	Ống	Disc Cefoxitin Fox-30 10 Ea
231593	Ống	BD BBL™ Sensi-Disc™ Cefazolin CZ-30, 10 Ea
231597	Ống	Disc Amikacin An-30 10 Ea
231601	Ống	BD BBL™ Sensi-Disc™ Trimethoprim TMP-5, 10 Ea
231607	Ống	Disc Cefotaxime Ctx-30 10 Ea
231621	Ống	Disc Cefuroxime Cxm-30 10 Ea
231629	Ống	BD BBL™ Sensi-Disc™ Amoxicillin with Clavulanic Acid AMC-30, 10 Ea
231633	Ống	Disc Ceftazidime Caz-30 10 Ea
231635	Ống	BD BBLTM Sensi- DiscTM Ceftriaxone - 30μg
231641	Ống	BD BBL™ Sensi-Disc™ Aztreonam ATM-30, 10 Ea
231645	Ống	Disc Imipenem Ipm-10 10 Ea
231647	Ống	Disc Norfloxacin Nor-10 10 Ea
231649	Ống	Disc Ticarcillin/Clavulanic Tim-85 10 Ea
231658	Ống	Disc Ciprofloxacin Cip-5 10 Ea
231660	Ống	BD BBL™ Sensi-Disc™ Ampicillin with Sulbactam SAM-20, 10 Ea
231682	Ống	Disc Azithromycin Azm-15 10 Ea
231692	Ống	Disc Piperacillin/Tazobactam Tzp110 10Ea
231696	Ống	Disc Cefepime Fep-30 10 Ea
231704	Ống	Disc Meropenem Mem-10 10 Ea
231706	Ống	Disc Levofloxacin Lvx-5 10 Ea
231754	Ống	Disc Ceftazidime/Clavulanic 10 Ea
231755	Ống	Disc Fosfomycin Fos-200 10Ea
231758	Ống	BD BBL™ Sensi-Disc™ Moxifloxacin MXF-5, 10 Ea
231762	Ống	BD BBL™ Sensi-Disc™ Linezolid LZD-30, 10 Ea
231971	Lọ	Vial Novobiocin Supplement 6x10ml
232175	Ống	BD Sensi-Disc™ Ertapenem ETP-10, 10 Ea
232208	Ống	BD Sensi-Disc™ Tigecycline TGC-15, 10 Ea
240863	Bộ	BD BBL MycoPrep Kit
245115	Hộp	BACTEC MGIT 960 PZA Susceptibility Test Medium
245116	Hộp	BBL MGIT OADC
245122	Hộp	BBL MGIT Mycobacteria Growth Indicator Tubes (7 mL)
245123	Hộp	BACTEC MGIT 960 SIRE Kit
245124	Hộp	BACTEC MGIT 960 Supplement Kit
245128	Hộp	BACTEC MGIT 960 PZA Kit
245159	Hộp	MGIT TBc Identification Test
246001	Hộp	Phoenix ID Broth
246003	Hộp	Phoenix AST Broth
246004	Lọ	Phoenix AST Indicator Solution
246007	Lọ	Phoenix AST-S Broth
246009	Lọ	Phoenix AST-S Indicator Solution
260002	Bộ	BD GasPakTM EZ  Small Incubation  Container
260671	Hộp	GasPakTM EZ  Standard Incubation  Container
260672	Bộ	BD GasPak EZ Large Incubation Container
260678	Hộp	GasPak EZ Anaerobe Container System Sachets
260680	Hộp	Sachet Gaspak EZ Campy Container
260683	Hộp	Pouch GasPack EZ Anaerobe
